NGÀY PICK,TÊN THÙNG,TÊN KHÁCH HÀNG,TÊN HÃNG,S? TRACKING,S? ORDER,S? S?N PH?M,GHI CHÚ 1,GHI CHÚ 2
4/21/2022,AH16,GLC ANHOANGPHUC,.,WY016640077GB,,8,,
4/21/2022,AH8,GLC ANNABUI,.,JJD014600009578881591,,SEAL,,
4/21/2022,AH20,GLC ANNABUI,.,15976875186373,,SEAL,,
4/21/2022,AH5,GLC DINHQUYEN,.,C00HHA0197690989,,3,,
4/21/2022,AH6,GLC HOANGHIEU,.,T0047A0097455531,,SEAL,,
4/21/2022,AH9,GLC HOANGHIEU,SPORT,T0047A0097585942,,SEAL,,
4/21/2022,AH9,GLC HUYENNHUDUNG,ADIDAS,155051691451553,,18,,
4/21/2022,AH9,GLC HUYENNHUDUNG,ADIDAS,PBZK2355806001,,4,,
4/21/2022,AH9,GLC HUYENNHUDUNG,ADIDAS,PBZK2374694001,,1,,
4/21/2022,AH9,GLC HUYENNHUDUNG,ADIDAS,PBZK2425294001,,2,,
4/21/2022,AH15,GLC HUYENNHUDUNG,ADIDAS,PBZK2445395001,,2,,
4/21/2022,AH16,GLC HUYENNHUDUNG,ADIDAS,PBZK2361320001,,4,,
4/21/2022,AH5,GLC LAILINHNGUYEN,.,KB887637475GB,,SEAL,,
4/21/2022,AH21,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 1,
4/21/2022,AH22,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 2,
4/21/2022,AH23,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 3,
4/21/2022,AH24,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 4,
4/21/2022,AH25,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 5,
4/21/2022,AH26,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 6,
4/21/2022,AH27,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 7,
4/21/2022,AH28,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 8,
4/21/2022,AH29,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 9,
4/21/2022,AH30,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 10,
4/21/2022,AH31,GLC LAILINHNGUYEN,.,.,,SEAL,KIEN 11,
4/21/2022,AH16,GLC LECONGKY,.,15976874955841,,1,KO BILL,
4/21/2022,AH5,GLC LESON,.,JD930230090GB,,SEAL,,
4/21/2022,AH16,GLC LESON,.,VY040627646GB,,SEAL,,
4/21/2022,AH9,GLC LINHTHANHTRUNG,ADIDAS,PBZK2368521001,,2,,
4/21/2022,AH9,GLC LINHTHANHTRUNG,ADIDAS,155051691462782,,15,,
4/21/2022,AH5,GLC LINHTRANTHANHTRUNG,SPORT,T0047A0097499317,,SEAL,,
