NGÀY SCAN,STT,SỐ TRACKING,GHI CHÚ
19/01/2022,288,MD187628704GB,
23/01/2022,289,21082936794100100030,
23/01/2022,290,1 KIEN TAYHODIEP,
23/01/2022,291,T002VA0446762167,
23/01/2022,292,T002VA0446762155,
23/01/2022,293,T002VA0446890524,
23/01/2022,294,T002VA0447016408,
23/01/2022,295,T002VA0446975764,
23/01/2022,296,T002VA0446928563,
23/01/2022,297,T002VA0447016410,
23/01/2022,298,T002VA0446980549,
23/01/2022,299,H00IEA0066005454,
23/01/2022,300,T00D4A1508897049,
23/01/2022,301,T002VA0446886931,
23/01/2022,302,T002VA0446569523,
23/01/2022,303,T002VA0446529935,
23/01/2022,304,MD187637215GB,
23/01/2022,305,0216CFD4040DB1E6,
23/01/2022,306,L10023111012044013,
23/01/2022,307,WD478168937GB,
23/01/2022,308,MD187634744GB,
23/01/2022,309,%0SE83PR15501959171621812826,
23/01/2022,310,%0SE83PR15505169084371812826,
23/01/2022,311,MA242019927GB,
23/01/2022,312,WD665931832GB,
23/01/2022,313,%0SE83PR15505349907768812826,
23/01/2022,314,T002VA0448026195,
23/01/2022,315,T00D4A1508966490,
23/01/2022,316,T00D4A1508897063,
23/01/2022,317,T002VA0447979826,
23/01/2022,318,T002VA0447616549,
23/01/2022,319,T002VA0448070667,
23/01/2022,320,T00PLA0100080892,
23/01/2022,321,T00IKA0016911158,
23/01/2022,322,JJD014600009436043337,
23/01/2022,323,JJD0002247516421454,
23/01/2022,324,QA1913290650,
23/01/2022,325,MD187653567GB,
23/01/2022,326,15504742503526Y,
23/01/2022,327,WD234474663GB,
23/01/2022,328,1 KIEN MUK QUAN,
23/01/2022,329,JC421853610GB,
23/01/2022,330,%0SE83PR15500519144857812826,
23/01/2022,331,TZYDYA0033153444,
23/01/2022,332,%0SE83PR04361199580660101904,
23/01/2022,333,T002VA0449228308,
23/01/2022,334,T002VA0449359824,
23/01/2022,335,T002VA0449146431,
23/01/2022,336,T002VA0448854265,
23/01/2022,337,T00P0A0020857997,
23/01/2022,338,KB890951088GB,
23/01/2022,339,T00D4A1508966589,
23/01/2022,340,T00KMA0182192731,
23/01/2022,341,C00HHA0140128032,
23/01/2022,342,15501981193147W,
23/01/2022,343,T002VA0449943936,
23/01/2022,344,MD187676660GB,
23/01/2022,345,T002VA0450772239,
23/01/2022,346,T00PWA0024728542,
23/01/2022,347,21083536633700100037,
23/01/2022,348,A11194978673,
23/01/2022,349,1 KIEN NGUYEN TIEN THANH,
24/01/2022,350,1 KIEN HANHVAN,
24/01/2022,351,PBTH6262526001,
24/01/2022,352,%0SE83PR15501981245121812826,
24/01/2022,353,15505453090192,
24/01/2022,354,3JJD014600009442700578,
24/01/2022,355,15505453090797,
24/01/2022,356,NC310715597GB,
24/01/2022,357,21083663597500100037,
24/01/2022,358,T002VA0451669015,
24/01/2022,359,15505453090791,
24/01/2022,360,T002VA0451434777,
24/01/2022,361,T00KMA0183364321,
24/01/2022,362,T000VA0028678019,
24/01/2022,363,T01XHA0000446255,
24/01/2022,364,ƯY220194368GB,
24/01/2022,365,T002VA0448966630,
24/01/2022,366,021681590179602B,
24/01/2022,367,QA1920014283,
24/01/2022,368,MD187686809GB,
24/01/2022,369,MD187686622GB,
24/01/2022,370,QA1922630924,
24/01/2022,371,QA1920772931,
25/01/2022,372,PBTH6262591001,
25/01/2022,373,%0SE83PR15502452344151812826,
25/01/2022,374,%0SE83PR15502582153295812826,
25/01/2022,375,%0SE83PR15502582153294812826,
25/01/2022,376,H0067A0048486105,
25/01/2022,377,T00KMA0184296606,
25/01/2022,378,T002VA0452838938,
25/01/2022,379,WU957737438GB,
25/01/2022,380,T002VA0452266353,
25/01/2022,381,T002VA0452359007,
25/01/2022,382,T002VA0452838926,
25/01/2022,383,T002VA0452884012,
25/01/2022,384,PBTH6636395001,
25/01/2022,385,PBTH6262438001,
25/01/2022,386,PBTH6281984001,
25/01/2022,387,PBTH6281879001,
25/01/2022,388,PBTH6636682001,
25/01/2022,389,PBTH6636603001,
25/01/2022,390,02152632015671E3,
25/01/2022,391,0508BCF5727,
27/01/2022,392,T002VA0453418155,
27/01/2022,393,T002VA0452116053,
27/01/2022,394,FY121338777GB,
27/01/2022,395,SM053347551GB,
27/01/2022,396,T00NWA0028131234,
27/01/2022,397,T00NWA0028131397,
27/01/2022,398,1 KIEN OANHOANH,
27/01/2022,399,T00LFA0004310115,
27/01/2022,400,021621A804684315,
27/01/2022,401,WD473248616GB,
27/01/2022,402,2 KIEN MUK QUAN,
27/01/2022,403,T00K5A0024640668,
27/01/2022,404,H0067A0048725242,
27/01/2022,405,0508C2F2023,MUK QUAN
27/01/2022,406,PBKH2666613001,
27/01/2022,407,0508C35ACF3,MUK QUAN
27/01/2022,408,QA1928095338,
27/01/2022,409,QA1927706073,
27/01/2022,410,QA1927881888,
27/01/2022,411,QA1926138173,
27/01/2022,412,QA1925642285,
27/01/2022,413,1ZF511F96805132755,
27/01/2022,414,WD459725116GB,
27/01/2022,415,T002VA0454769197,
27/01/2022,416,T00NWA0028215698,
27/01/2022,417,1Z5804806802981716,
27/01/2022,418,2D04281210000004EBF5F,
27/01/2022,419,MD187737179GB,
27/01/2022,420,MD187737576GB,
31/01/2022,421,21083820081300100036,
31/01/2022,422,%0SE83PR15976856457333832826,
31/01/2022,423,96130831205205536207,
31/01/2022,424,QA1928155083,
31/01/2022,425,6053053020128321849124001605,
31/01/2022,426,NV103873464GB,
31/01/2022,427,T00NWA0028370014,
31/01/2022,428,6053053020128321852224001605,
31/01/2022,429,T00NWA0028295824,
31/01/2022,430,T002VA0455706336,
31/01/2022,431,T00KMA0186989140,
31/01/2022,432,T00ISA0007865863,
31/01/2022,433,02179AF4035230D8,
31/01/2022,434,T00PWA0025249371,
31/01/2022,435,T00PWA0025288753,
31/01/2022,436,T00PWA0025250196,
31/01/2022,437,T00PWA0025288892,
31/01/2022,438,WJ305850719GB,
31/01/2022,439,BN522533623GB,
31/01/2022,440,NJ928353360GB,
31/01/2022,441,T00NWA0028307984,
31/01/2022,442,T00NWA0028326530,
31/01/2022,443,T00NWA0028298008,
31/01/2022,444,T00NWA0028298452,
31/01/2022,445,T00NWA0028308582,
31/01/2022,446,87NXG9315442A060,
31/01/2022,447,QA1929563831,
31/01/2022,448,NV929278546GB,
31/01/2022,449,WU957897182GB,
31/01/2022,450,T00KMA0187457182,
31/01/2022,451,T00NWA0028406275,
31/01/2022,452,WD292928085GB,
31/01/2022,453,WD216437837GB,
31/01/2022,454,H008EA0007855452,
31/01/2022,455,H008EA0007855452,
31/01/2022,456,T002VA0458923567,
31/01/2022,457,T002VA0459492789,
31/01/2022,458,H0067A0049283473,
31/01/2022,459,]C100991010200056078973,
31/01/2022,460,H00TCA0001413017,
31/01/2022,461,T002VA0458341931,
31/01/2022,462,%0SE83PR15501969088259816826,A MAIANH
31/01/2022,463,%0SE83PR15501969089440816826,
31/01/2022,464,02101CA90568808B,MUK QUAN
31/01/2022,465,021041B402BB17DE,MUK QUAN
31/01/2022,466,021222FF01B35491,PHAPPHAM
03/02/2022,467,QA1936959376,
03/02/2022,468,QA1938993621,
03/02/2022,469,QA1938562964,
03/02/2022,470,T00NWA0028620091,
03/02/2022,471,T00NWA0028676113,
03/02/2022,472,H00EZA0012650049,
03/02/2022,473,WD214778657GB,
03/02/2022,474,H008EA0007925463,
03/02/2022,475,T00NWA0028568671,
03/02/2022,476,T00NWA0028643063,
03/02/2022,477,QA1942247156,
03/02/2022,478,T00NWA0028620089,
03/02/2022,479,T00KMA0190829833,
03/02/2022,480,WD231107170GB,
03/02/2022,481,T00D4A1509402308,
03/02/2022,482,QA1940825078,
03/02/2022,483,T00BIA0011890031,
03/02/2022,484,0211E042011E0A53,
03/02/2022,485,1Z2X06A80498508217,
03/02/2022,486,T002VA0460048058,
03/02/2022,487,%0SE83PR15504832033313812826,
03/02/2022,488,1ZV827826892074091,
03/02/2022,489,T00BIA0011879859,
03/02/2022,490,1ZF511F96805187581,
03/02/2022,491,PBTH9525561001,
03/02/2022,492,%0SE83PR15503750451904812826,
03/02/2022,493,QA1938561425,
03/02/2022,494,QA1940826992,
03/02/2022,495,QA1938561734,
03/02/2022,496,QA1938562142,
03/02/2022,497,QA1938560603,
03/02/2022,498,QA1938561511,
03/02/2022,499,QA1944097226,
03/02/2022,500,QA1942358489,
03/02/2022,501,QA1940825467,
03/02/2022,502,PBUX0572992001,
03/02/2022,503,PBUX0572723001,
03/02/2022,504,4003692270008FA9E108B,MUK QUAN
03/02/2022,505,0508CE1CC0A,MUK QUAN
03/02/2022,506,021372EA0176D991,MUK THONG
03/02/2022,507,L10023111012770841,
03/02/2022,508,1ZV827826893256633,
03/02/2022,509,1 KIEN MUK PHUONG,
03/02/2022,510,T00D4A1509512894,
03/02/2022,511,0217939B01657398,CINDY
03/02/2022,512,T00BIA0011990463,
03/02/2022,513,87NXG9365783A060,
06/02/2022,514,T00D4A1509425483,
06/02/2022,515,T00NWA0028756947,
06/02/2022,516,T002VA0463525332,
06/02/2022,517,SM036443748GB,
06/02/2022,518,SM036443561GB,
06/02/2022,519,SM036443779GB,
06/02/2022,520,SM036443703GB,
06/02/2022,521,SM036443782GB,
06/02/2022,522,SM036443796GB,
06/02/2022,523,SM016825601GB,
06/02/2022,524,SM016824892GB,
06/02/2022,525,SM016834271GB,
06/02/2022,526,SM016826690GB,
06/02/2022,527,SM016831641GB,
06/02/2022,528,SM016831788GB,
06/02/2022,529,SM016834665GB,
06/02/2022,530,21084469720200100035,
06/02/2022,531,21084466955500100031,
06/02/2022,532,21084495439000100033,
06/02/2022,533,T00D4A1509470818,
06/02/2022,534,WL489991720GB,
06/02/2022,535,T002VA0464704371,
06/02/2022,536,32020936200035E221FEC,DATBACHA
06/02/2022,537,PBII6042746001,
06/02/2022,538,NV717547347GB,
06/02/2022,539,0213673201698379,MUK THONG
06/02/2022,540,0212A3E94311E993,MUK THONG
06/02/2022,541,KB891855131GB,
06/02/2022,542,WD586044203GB,
06/02/2022,543,1F047385400002D675070,HAINCHAN
06/02/2022,544,QA1946197294,
06/02/2022,545,QA1948926478,
06/02/2022,546,QA1948810420,
06/02/2022,547,SM016826831GB,
06/02/2022,548,SM016826638GB,
06/02/2022,549,SM016835135GB,
06/02/2022,550,%0SE83PR15503843097431812826,
06/02/2022,551,T00KMA0195354021,
07/02/2022,552,T00KMA0195890849,
07/02/2022,553,JJD0002248427859626,
07/02/2022,554,NC312220792GB,
07/02/2022,555,SM036464147GB,
07/02/2022,556,T00NWA0029001379,
07/02/2022,557,T00NWA0029001367,
07/02/2022,558,T00KMA0196111434,
07/02/2022,559,T00KMA0195881701,
07/02/2022,560,T00KMA0195759168,
07/02/2022,561,T00NWA0028326530,
07/02/2022,562,1 KIEN DINHTHAO,
07/02/2022,563,QA1953363508,
07/02/2022,564,QA1955923005,
07/02/2022,565,QA1952732253,
07/02/2022,566,0213491904579AC7,
08/02/2022,567,%0SE83PR15503737385749812826,
08/02/2022,568,MA401344119GB,
08/02/2022,569,WU958104471GB,
08/02/2022,570,WU502423535GB,
08/02/2022,571,WU502508545GB,
08/02/2022,572,T002VA0468198762,
08/02/2022,573,JJD0002248427868360,
08/02/2022,574,T022TA0015361015,
08/02/2022,575,T00KMA0196850567,
08/02/2022,576,T0047A0079844825,
08/02/2022,577,T022TA0015357066,
08/02/2022,578,T022TA0015361041,
08/02/2022,579,T00NWA0029048389,
08/02/2022,580,T00KMA0196564700,
08/02/2022,581,T00B8A0072017496,
08/02/2022,582,H00KQA0012748284,
08/02/2022,583,T022TA0015356672,
08/02/2022,584,11071B53D06,
08/02/2022,585,1 KIEN MUK QUAN,
